tradeSize,maxAltOut,liquidations,midPriceWad,execPriceWad,slippageBps
1000000000000000000000,996006885543465614317,0,1000000000000000000,1004009123344921019,40

2000000000000000000000,1990031683817505836485,0,1000000000000000000,1005009124358950809,50

5000000000000000000000,4960272926837205886839,0,1000000000000000000,1008009049854465385,80

10000000000000000000000,9871580172330141067503,0,1000000000000000000,1013009044694771092,130

20000000000000000000000,19550169585272669792173,0,1000000000000000000,1023009028784394370,230

50000000000000000000000,47482973663136363029478,0,1000000000000000000,1053009029188450818,530

100000000000000000000000,90661089168861508369443,0,1000000000000000000,1103009029747527425,1030

200000000000000000000000,166249791393056511878965,0,1000000000000000000,1203009028306985766,2030

500000000000000000000000,332665999187156558036802,0,1000000000000000000,1503009027738665903,5030

1000000000000000000000000,499248873209580779075621,0,1000000000000000000,2003009027483989548,10030

